W,L,H,Er,Cond,T,TanD
4.01e-06,0.000618,0.000201,14.0,60000000.0,5e-07,0.001
0.00897,0.000918,0.000179,10.0,60000000.0,5e-07,0.001
3.05e-06,0.000207,0.000153,12.0,60000000.0,5e-07,0.001
0.0001,0.000506,0.000159,14.0,60000000.0,5e-07,0.001
2.55e-05,0.000977,0.000255,9.0,60000000.0,5e-07,0.001
3.79e-05,0.000817,0.00012,10.5,60000000.0,5e-07,0.001
1.26e-06,0.000708,6.3e-05,13.5,60000000.0,5e-07,0.001
0.00185,0.000593,0.000293,11.0,60000000.0,5e-07,0.001
0.0112,0.000787,0.000282,11.0,60000000.0,5e-07,0.001
6.15e-06,0.00075,0.000245,9.5,60000000.0,5e-07,0.001
2.95e-05,0.000957,0.000234,9.5,60000000.0,5e-07,0.001
0.000991,0.000585,0.000157,10.0,60000000.0,5e-07,0.001
0.00283,0.000855,0.000142,12.0,60000000.0,5e-07,0.001
4.02e-05,0.000676,0.000101,11.5,60000000.0,5e-07,0.001
0.00857,0.000918,0.000271,11.5,60000000.0,5e-07,0.001
9.22e-06,0.000839,0.000184,12.5,60000000.0,5e-07,0.001
0.00203,0.000474,0.000161,10.5,60000000.0,5e-07,0.001
0.00235,0.00035,0.000148,9.5,60000000.0,5e-07,0.001
0.000457,8.1e-05,0.000229,12.0,60000000.0,5e-07,0.001
1.45e-05,0.000381,0.00029,12.0,60000000.0,5e-07,0.001
0.000235,0.000734,0.000118,12.5,60000000.0,5e-07,0.001
6.66e-05,0.000113,0.000265,13.5,60000000.0,5e-07,0.001
2.32e-05,0.000103,0.000184,11.0,60000000.0,5e-07,0.001
0.000411,0.000928,8.2e-05,11.5,60000000.0,5e-07,0.001
3.03e-05,0.000172,0.000191,9.5,60000000.0,5e-07,0.001
0.000404,0.000746,6.4e-05,10.5,60000000.0,5e-07,0.001
0.000223,2.3e-05,0.000223,12.5,60000000.0,5e-07,0.001
0.00181,0.000629,0.000144,11.0,60000000.0,5e-07,0.001
0.00142,0.000261,0.000225,10.0,60000000.0,5e-07,0.001
0.00105,0.000656,0.000132,10.5,60000000.0,5e-07,0.001
0.000137,0.000991,0.000137,13.5,60000000.0,5e-07,0.001
2.31e-06,0.000189,0.000146,9.0,60000000.0,5e-07,0.001
5.43e-06,0.000224,0.000272,12.5,60000000.0,5e-07,0.001
0.000537,0.000362,0.000269,13.0,60000000.0,5e-07,0.001
3.25e-05,0.000684,0.000258,11.5,60000000.0,5e-07,0.001
2.61e-06,0.000185,0.000207,9.5,60000000.0,5e-07,0.001
0.00101,0.000592,8e-05,10.0,60000000.0,5e-07,0.001
0.00945,0.000613,0.000119,14.0,60000000.0,5e-07,0.001
0.000327,0.00018,0.00013,13.5,60000000.0,5e-07,0.001
0.000642,7.1e-05,0.000203,11.0,60000000.0,5e-07,0.001
1.57e-06,6e-05,9.9e-05,10.5,60000000.0,5e-07,0.001
0.00236,0.000848,0.000236,13.5,60000000.0,5e-07,0.001
7.18e-05,0.00092,0.000227,12.5,60000000.0,5e-07,0.001
1.17e-05,0.000526,0.000295,13.5,60000000.0,5e-07,0.001
2.93e-06,0.000967,0.000233,12.5,60000000.0,5e-07,0.001
0.000165,0.000975,0.000131,12.0,60000000.0,5e-07,0.001
0.00304,0.000659,9.6e-05,11.0,60000000.0,5e-07,0.001
9.65e-05,0.000275,0.000153,13.0,60000000.0,5e-07,0.001
0.000319,0.000196,0.000127,13.0,60000000.0,5e-07,0.001
0.000434,0.000355,0.000109,13.5,60000000.0,5e-07,0.001
0.00403,0.000591,0.000254,13.0,60000000.0,5e-07,0.001
6.97e-06,0.000939,0.000139,13.0,60000000.0,5e-07,0.001
0.000257,0.000584,0.000129,10.5,60000000.0,5e-07,0.001
1.2e-06,0.000103,6e-05,12.0,60000000.0,5e-07,0.001
0.000718,0.000498,5.7e-05,13.0,60000000.0,5e-07,0.001
0.0253,8.2e-05,0.000253,13.5,60000000.0,5e-07,0.001
1.98e-05,0.000454,0.000157,11.0,60000000.0,5e-07,0.001
3.26e-05,8.9e-05,8.2e-05,12.5,60000000.0,5e-07,0.001
0.000907,0.000301,0.000181,11.5,60000000.0,5e-07,0.001
0.0145,0.000487,0.00023,12.5,60000000.0,5e-07,0.001
0.00015,0.0007,7.5e-05,12.0,60000000.0,5e-07,0.001
0.00147,0.000241,0.000147,10.5,60000000.0,5e-07,0.001
0.00519,5.2e-05,0.00026,12.0,60000000.0,5e-07,0.001
0.00709,0.000409,0.000178,11.5,60000000.0,5e-07,0.001
0.00389,5.6e-05,0.000123,12.5,60000000.0,5e-07,0.001
0.0122,0.000607,0.000193,11.5,60000000.0,5e-07,0.001
0.00206,4.5e-05,0.000164,10.0,60000000.0,5e-07,0.001
6.75e-05,9.5e-05,0.000107,13.0,60000000.0,5e-07,0.001
0.00412,0.000411,0.000164,14.0,60000000.0,5e-07,0.001
0.00446,0.000351,8.9e-05,13.0,60000000.0,5e-07,0.001
0.00544,0.000548,0.000172,10.0,60000000.0,5e-07,0.001
1.72e-06,0.000254,0.000172,13.5,60000000.0,5e-07,0.001
0.000409,0.000191,0.000163,13.0,60000000.0,5e-07,0.001
0.0105,0.000574,0.000166,13.5,60000000.0,5e-07,0.001
0.000168,0.000776,0.000106,12.0,60000000.0,5e-07,0.001
4.03e-05,0.000929,0.000202,10.5,60000000.0,5e-07,0.001
1.8e-06,0.000582,9e-05,11.0,60000000.0,5e-07,0.001
3.72e-06,0.00041,5.9e-05,12.5,60000000.0,5e-07,0.001
0.000347,0.000566,0.000219,9.0,60000000.0,5e-07,0.001
0.00021,6.7e-05,0.000265,14.0,60000000.0,5e-07,0.001
0.000713,0.0003,0.000113,12.0,60000000.0,5e-07,0.001
0.000212,0.000601,6.7e-05,12.5,60000000.0,5e-07,0.001
0.0272,0.000174,0.000272,13.0,60000000.0,5e-07,0.001
1.92e-05,9.1e-05,0.000192,13.0,60000000.0,5e-07,0.001
0.000493,0.000175,0.000156,14.0,60000000.0,5e-07,0.001
7.72e-06,0.000182,0.000194,9.0,60000000.0,5e-07,0.001
2.59e-06,0.000162,0.00013,9.0,60000000.0,5e-07,0.001
0.000435,0.000841,6.9e-05,11.5,60000000.0,5e-07,0.001
0.00225,0.000995,7.1e-05,9.0,60000000.0,5e-07,0.001
0.0102,0.000118,0.000256,10.5,60000000.0,5e-07,0.001
0.000111,0.000649,0.00014,12.0,60000000.0,5e-07,0.001
3.04e-06,2e-05,0.000192,11.0,60000000.0,5e-07,0.001
0.00421,0.000712,5.3e-05,10.5,60000000.0,5e-07,0.001
9.22e-06,4.3e-05,0.000184,10.0,60000000.0,5e-07,0.001
1.87e-05,0.000726,0.000187,9.0,60000000.0,5e-07,0.001
2.24e-05,0.000685,0.000224,11.5,60000000.0,5e-07,0.001
0.000543,0.000832,0.000272,13.0,60000000.0,5e-07,0.001
4.46e-05,8.9e-05,0.000112,12.5,60000000.0,5e-07,0.001
0.000813,0.000995,0.000257,13.0,60000000.0,5e-07,0.001
0.00754,0.000651,0.0003,10.5,60000000.0,5e-07,0.001
0.00631,0.000529,0.000126,10.0,60000000.0,5e-07,0.001
1.88e-05,0.000143,7.5e-05,14.0,60000000.0,5e-07,0.001
3.71e-06,0.000575,0.000295,9.0,60000000.0,5e-07,0.001
6.23e-06,0.000163,0.000248,9.0,60000000.0,5e-07,0.001
0.000445,0.000736,5.6e-05,9.5,60000000.0,5e-07,0.001
0.0093,0.00065,0.000294,11.5,60000000.0,5e-07,0.001
0.00115,0.000639,0.00023,13.5,60000000.0,5e-07,0.001
5e-06,0.000527,0.000199,9.0,60000000.0,5e-07,0.001
0.000199,0.000829,6.3e-05,11.5,60000000.0,5e-07,0.001
0.00548,0.00046,0.000218,10.5,60000000.0,5e-07,0.001
0.000323,0.000617,0.000102,13.5,60000000.0,5e-07,0.001
0.000492,0.000384,7.8e-05,10.5,60000000.0,5e-07,0.001
0.00536,0.000233,8.5e-05,9.5,60000000.0,5e-07,0.001
0.000772,0.000995,0.000244,12.0,60000000.0,5e-07,0.001
2.31e-05,0.000742,0.000146,10.5,60000000.0,5e-07,0.001
1.35e-06,0.000629,0.000107,11.5,60000000.0,5e-07,0.001
0.00182,0.00027,0.000289,10.5,60000000.0,5e-07,0.001
1.96e-06,0.000357,9.8e-05,12.0,60000000.0,5e-07,0.001
9.82e-05,0.000862,7.8e-05,11.0,60000000.0,5e-07,0.001
0.000114,0.000503,0.000114,11.5,60000000.0,5e-07,0.001
1.14e-05,4.6e-05,0.000227,11.5,60000000.0,5e-07,0.001
0.000511,0.000295,8.1e-05,11.5,60000000.0,5e-07,0.001
4.01e-06,0.000294,0.000253,13.5,60000000.0,5e-07,0.001
3.65e-05,0.000864,0.00029,12.0,60000000.0,5e-07,0.001
3.78e-06,0.000376,9.5e-05,10.0,60000000.0,5e-07,0.001
2.01e-05,0.000415,0.00016,14.0,60000000.0,5e-07,0.001
0.000117,0.000435,9.3e-05,14.0,60000000.0,5e-07,0.001
1.6e-06,0.000697,0.000127,12.5,60000000.0,5e-07,0.001
7.33e-05,0.000541,0.000184,9.5,60000000.0,5e-07,0.001
0.000123,0.000357,0.000246,10.5,60000000.0,5e-07,0.001
0.00583,0.000439,0.000292,12.5,60000000.0,5e-07,0.001
6.86e-06,0.00097,0.000217,13.5,60000000.0,5e-07,0.001
9.5e-07,0.000957,9.5e-05,9.0,60000000.0,5e-07,0.001
0.00424,0.000985,0.000134,12.5,60000000.0,5e-07,0.001
0.000142,0.00014,7.1e-05,13.5,60000000.0,5e-07,0.001
0.00081,0.000752,0.000256,14.0,60000000.0,5e-07,0.001
2.85e-05,5.4e-05,0.000143,12.5,60000000.0,5e-07,0.001
0.000281,0.000239,0.000281,13.5,60000000.0,5e-07,0.001
8.76e-05,0.00031,0.000277,11.5,60000000.0,5e-07,0.001
0.0104,0.000558,0.000104,11.0,60000000.0,5e-07,0.001
0.00354,0.000958,0.000141,12.5,60000000.0,5e-07,0.001
3.77e-05,0.00096,0.00015,10.5,60000000.0,5e-07,0.001
2.41e-05,0.00092,0.000121,13.5,60000000.0,5e-07,0.001
0.000447,0.000349,0.000224,13.5,60000000.0,5e-07,0.001
3.41e-06,0.000956,0.000271,13.0,60000000.0,5e-07,0.001
0.00334,0.000771,5.3e-05,9.5,60000000.0,5e-07,0.001
9.3e-07,0.000511,9.3e-05,9.5,60000000.0,5e-07,0.001
0.00269,0.000444,0.000135,12.5,60000000.0,5e-07,0.001
0.000416,0.000129,6.6e-05,12.5,60000000.0,5e-07,0.001
6.53e-06,0.000618,0.00026,12.5,60000000.0,5e-07,0.001
6.42e-05,0.000766,0.000203,11.5,60000000.0,5e-07,0.001
0.000225,0.000197,0.000113,13.0,60000000.0,5e-07,0.001
0.000935,0.000324,5.9e-05,9.0,60000000.0,5e-07,0.001
1.49e-05,5.8e-05,0.000298,13.5,60000000.0,5e-07,0.001
1.03e-06,0.000423,0.000103,9.0,60000000.0,5e-07,0.001
0.000148,0.000935,7.4e-05,13.5,60000000.0,5e-07,0.001
1.73e-06,0.000502,0.000173,10.0,60000000.0,5e-07,0.001
7.57e-06,0.00089,0.000151,9.0,60000000.0,5e-07,0.001
0.0146,0.000247,0.000184,11.5,60000000.0,5e-07,0.001
5.01e-06,0.000758,0.0001,10.0,60000000.0,5e-07,0.001
0.000478,0.000957,0.000151,9.0,60000000.0,5e-07,0.001
1.97e-06,0.000664,0.000124,14.0,60000000.0,5e-07,0.001
1.99e-06,0.000484,0.000199,13.0,60000000.0,5e-07,0.001
4.04e-05,0.000776,6.4e-05,11.0,60000000.0,5e-07,0.001
0.0151,0.000838,0.00024,9.5,60000000.0,5e-07,0.001
0.000375,0.000132,0.000298,11.5,60000000.0,5e-07,0.001
0.000467,0.000398,0.000234,10.0,60000000.0,5e-07,0.001
5e-06,0.000933,0.000158,13.5,60000000.0,5e-07,0.001
0.000506,0.00044,0.000101,9.5,60000000.0,5e-07,0.001
0.008,0.000208,0.000201,11.0,60000000.0,5e-07,0.001
1.35e-06,0.000242,0.000135,12.5,60000000.0,5e-07,0.001
1.16e-06,0.000425,5.8e-05,10.0,60000000.0,5e-07,0.001
1.58e-05,0.000529,0.000158,12.0,60000000.0,5e-07,0.001
8.98e-06,0.000179,0.000113,10.0,60000000.0,5e-07,0.001
0.00266,0.000913,0.000211,10.0,60000000.0,5e-07,0.001
0.0226,0.000671,0.000226,12.0,60000000.0,5e-07,0.001
8.06e-06,0.000392,6.4e-05,9.5,60000000.0,5e-07,0.001
0.0173,0.000315,0.000218,14.0,60000000.0,5e-07,0.001
5.89e-06,0.000623,0.000295,11.0,60000000.0,5e-07,0.001
0.000428,0.000679,0.00027,11.0,60000000.0,5e-07,0.001
3.45e-06,0.000825,0.000274,11.5,60000000.0,5e-07,0.001
0.000174,0.000491,0.00011,13.0,60000000.0,5e-07,0.001
0.000129,0.000148,0.000163,11.0,60000000.0,5e-07,0.001
3.12e-05,0.000387,0.000248,10.0,60000000.0,5e-07,0.001
1.22e-05,0.00012,7.7e-05,11.0,60000000.0,5e-07,0.001
9.21e-05,0.000302,0.000146,10.0,60000000.0,5e-07,0.001
5.56e-06,0.000276,7e-05,10.5,60000000.0,5e-07,0.001
1.43e-05,0.000591,0.000227,13.0,60000000.0,5e-07,0.001
4.93e-05,0.000869,0.000156,11.5,60000000.0,5e-07,0.001
4.73e-05,0.000276,7.5e-05,13.5,60000000.0,5e-07,0.001
0.000111,0.000357,0.000222,10.5,60000000.0,5e-07,0.001
1.41e-05,0.000191,0.000177,14.0,60000000.0,5e-07,0.001
0.00086,0.000763,0.000272,9.5,60000000.0,5e-07,0.001
7.3e-06,0.000269,7.3e-05,13.5,60000000.0,5e-07,0.001
0.0046,0.00025,0.000183,10.0,60000000.0,5e-07,0.001
0.000206,0.000808,0.000259,13.0,60000000.0,5e-07,0.001
0.00332,0.000607,0.000132,13.5,60000000.0,5e-07,0.001
0.00616,0.000351,0.000123,10.5,60000000.0,5e-07,0.001
0.000249,0.000944,0.000125,13.5,60000000.0,5e-07,0.001
5.15e-05,0.000976,0.000258,11.5,60000000.0,5e-07,0.001
6.96e-05,0.000177,0.00022,10.5,60000000.0,5e-07,0.001
0.00402,0.000173,0.000127,13.0,60000000.0,5e-07,0.001
0.00152,0.000596,0.000191,10.5,60000000.0,5e-07,0.001
0.0117,0.000241,0.000233,9.5,60000000.0,5e-07,0.001
0.00902,0.000231,0.000143,11.0,60000000.0,5e-07,0.001
2.44e-06,0.000469,0.000244,12.5,60000000.0,5e-07,0.001
2.53e-06,0.000481,0.000253,12.5,60000000.0,5e-07,0.001
0.00957,8.2e-05,0.000191,12.5,60000000.0,5e-07,0.001
0.00727,0.000527,0.000145,11.5,60000000.0,5e-07,0.001
1.07e-05,0.000338,0.000214,9.5,60000000.0,5e-07,0.001
0.000384,0.000703,0.000153,9.0,60000000.0,5e-07,0.001
6.45e-05,0.000729,0.000162,13.0,60000000.0,5e-07,0.001
0.00218,0.000545,6.9e-05,13.5,60000000.0,5e-07,0.001
0.0106,0.000107,0.000267,9.0,60000000.0,5e-07,0.001
1.32e-05,0.000713,0.000132,13.5,60000000.0,5e-07,0.001
7.46e-06,0.000973,0.000236,14.0,60000000.0,5e-07,0.001
5e-07,0.000504,5e-05,10.5,60000000.0,5e-07,0.001
1.59e-05,7.9e-05,0.000126,10.0,60000000.0,5e-07,0.001
0.00011,0.000265,8.7e-05,10.5,60000000.0,5e-07,0.001
7.8e-05,0.000726,7.8e-05,12.5,60000000.0,5e-07,0.001
2.24e-06,0.000706,0.000224,11.5,60000000.0,5e-07,0.001
0.000466,0.000736,0.000117,11.5,60000000.0,5e-07,0.001
0.00612,0.000319,7.7e-05,13.5,60000000.0,5e-07,0.001
0.0206,0.000551,0.000259,10.5,60000000.0,5e-07,0.001
0.000398,0.000596,0.000126,12.0,60000000.0,5e-07,0.001
4.27e-06,0.000823,0.000214,11.0,60000000.0,5e-07,0.001
0.005,0.000775,0.000158,12.5,60000000.0,5e-07,0.001
0.000266,0.000496,0.000168,12.5,60000000.0,5e-07,0.001
0.00681,0.00088,0.000171,14.0,60000000.0,5e-07,0.001
3.86e-05,0.000513,0.000122,9.5,60000000.0,5e-07,0.001
1.36e-05,8.5e-05,5.4e-05,10.0,60000000.0,5e-07,0.001
5.23e-05,0.000974,0.000262,14.0,60000000.0,5e-07,0.001
0.0207,0.000289,0.00026,13.0,60000000.0,5e-07,0.001
0.000241,0.00038,0.000241,13.0,60000000.0,5e-07,0.001
2.18e-05,0.000453,0.000274,12.0,60000000.0,5e-07,0.001
0.000267,0.000298,0.000134,13.0,60000000.0,5e-07,0.001
0.000185,0.000789,0.000117,10.5,60000000.0,5e-07,0.001
1.38e-05,0.000411,8.7e-05,13.0,60000000.0,5e-07,0.001
0.00443,0.000988,0.00014,9.5,60000000.0,5e-07,0.001
0.000882,0.000404,0.000279,12.5,60000000.0,5e-07,0.001
1.34e-06,0.000405,6.7e-05,14.0,60000000.0,5e-07,0.001
6.64e-06,0.000809,0.00021,9.0,60000000.0,5e-07,0.001
8.45e-06,0.000597,0.000134,13.5,60000000.0,5e-07,0.001
2.98e-05,0.000359,0.000237,12.5,60000000.0,5e-07,0.001
0.000141,0.000284,0.000224,11.0,60000000.0,5e-07,0.001
1.09e-05,0.000643,0.000137,12.5,60000000.0,5e-07,0.001
0.0118,0.000298,0.000297,11.5,60000000.0,5e-07,0.001
8.7e-05,0.000236,0.000275,11.5,60000000.0,5e-07,0.001
3.09e-05,0.000303,0.000155,13.0,60000000.0,5e-07,0.001
0.000656,8.9e-05,0.000104,9.0,60000000.0,5e-07,0.001
0.000309,0.000538,0.000123,14.0,60000000.0,5e-07,0.001
0.000478,0.000114,0.00012,13.0,60000000.0,5e-07,0.001
7.21e-05,0.000745,0.000287,12.0,60000000.0,5e-07,0.001
0.00307,0.000224,0.000154,9.0,60000000.0,5e-07,0.001
0.000304,0.00026,0.000121,14.0,60000000.0,5e-07,0.001
0.00404,1.4e-05,6.4e-05,10.0,60000000.0,5e-07,0.001
0.008,0.000175,0.000253,11.0,60000000.0,5e-07,0.001
0.0112,0.000391,0.000141,12.5,60000000.0,5e-07,0.001
3.34e-06,0.000926,0.000265,14.0,60000000.0,5e-07,0.001
0.000133,0.000353,5.3e-05,14.0,60000000.0,5e-07,0.001
9.77e-05,0.00038,0.000195,14.0,60000000.0,5e-07,0.001
0.000965,3.7e-05,0.000153,11.5,60000000.0,5e-07,0.001
0.000744,0.000939,0.000187,13.0,60000000.0,5e-07,0.001
0.00852,0.000816,0.00017,11.5,60000000.0,5e-07,0.001
0.000132,0.00083,0.000209,11.0,60000000.0,5e-07,0.001
0.00133,0.000217,0.000211,11.5,60000000.0,5e-07,0.001
0.000304,0.00026,0.000121,12.0,60000000.0,5e-07,0.001
0.00116,0.000314,0.000292,10.0,60000000.0,5e-07,0.001
0.000613,0.000174,0.000194,9.5,60000000.0,5e-07,0.001
2.03e-05,1.4e-05,0.000161,11.0,60000000.0,5e-07,0.001
0.000276,0.000862,5.5e-05,9.0,60000000.0,5e-07,0.001
1.8e-05,3.8e-05,0.000286,11.0,60000000.0,5e-07,0.001
0.00371,0.000414,0.000295,11.0,60000000.0,5e-07,0.001
0.00939,0.000822,0.000297,10.5,60000000.0,5e-07,0.001
3.19e-05,0.000334,0.00016,12.5,60000000.0,5e-07,0.001
0.00043,0.000236,0.000171,12.0,60000000.0,5e-07,0.001
0.00104,0.000725,0.000261,11.0,60000000.0,5e-07,0.001
0.0092,6.8e-05,0.000231,9.5,60000000.0,5e-07,0.001
6.85e-06,0.000133,0.000172,13.5,60000000.0,5e-07,0.001
0.000271,0.00093,0.000215,14.0,60000000.0,5e-07,0.001
0.00053,0.000314,8.4e-05,11.0,60000000.0,5e-07,0.001
0.000389,0.000921,0.000155,12.5,60000000.0,5e-07,0.001
0.00179,0.000575,0.000225,14.0,60000000.0,5e-07,0.001
5.5e-05,0.000202,5.5e-05,13.0,60000000.0,5e-07,0.001
0.000183,4.1e-05,5.8e-05,11.0,60000000.0,5e-07,0.001
1.3e-05,0.000664,0.000103,9.0,60000000.0,5e-07,0.001
0.000317,0.000761,0.000159,11.0,60000000.0,5e-07,0.001
0.00162,0.000271,0.000102,9.0,60000000.0,5e-07,0.001
0.000421,0.000515,5.3e-05,13.0,60000000.0,5e-07,0.001
2.15e-05,0.000326,0.000171,9.5,60000000.0,5e-07,0.001
0.00139,0.000595,0.00022,12.0,60000000.0,5e-07,0.001
5.33e-05,0.000188,0.000212,14.0,60000000.0,5e-07,0.001
0.00109,0.000494,0.000275,11.0,60000000.0,5e-07,0.001
3.54e-06,2.5e-05,0.000141,12.5,60000000.0,5e-07,0.001
0.000288,0.000859,0.000288,9.0,60000000.0,5e-07,0.001
0.000998,0.000167,5e-05,10.5,60000000.0,5e-07,0.001
7.6e-06,0.000931,0.000191,13.5,60000000.0,5e-07,0.001
0.026,0.000264,0.00026,12.5,60000000.0,5e-07,0.001
8.89e-05,0.00063,0.000281,9.0,60000000.0,5e-07,0.001
3.4e-05,0.000695,0.00027,13.5,60000000.0,5e-07,0.001
5.12e-06,0.000413,0.000204,14.0,60000000.0,5e-07,0.001
5.44e-05,0.000376,0.000172,11.5,60000000.0,5e-07,0.001
0.00262,0.00037,8.3e-05,11.5,60000000.0,5e-07,0.001
0.000118,0.000147,0.000149,10.5,60000000.0,5e-07,0.001
3.01e-06,0.000782,6e-05,12.0,60000000.0,5e-07,0.001
0.0116,1.3e-05,0.000116,13.5,60000000.0,5e-07,0.001
8.24e-06,0.000182,0.000207,13.0,60000000.0,5e-07,0.001
6.48e-06,0.00082,0.000205,11.0,60000000.0,5e-07,0.001
0.00287,0.000904,0.000228,10.5,60000000.0,5e-07,0.001
0.00179,0.00069,0.000283,13.0,60000000.0,5e-07,0.001
8.22e-05,0.000258,0.00026,9.0,60000000.0,5e-07,0.001
7.52e-06,0.000367,0.00015,12.0,60000000.0,5e-07,0.001
0.0189,6.7e-05,0.000238,13.0,60000000.0,5e-07,0.001
0.000231,3.9e-05,7.3e-05,14.0,60000000.0,5e-07,0.001
7.89e-05,0.000651,0.000125,12.0,60000000.0,5e-07,0.001
9.29e-06,9.8e-05,0.000117,13.0,60000000.0,5e-07,0.001
0.000593,0.000317,9.4e-05,14.0,60000000.0,5e-07,0.001
0.00532,0.000656,6.7e-05,14.0,60000000.0,5e-07,0.001
1.33e-05,0.000133,8.4e-05,14.0,60000000.0,5e-07,0.001
2.02e-06,0.000729,0.000101,11.5,60000000.0,5e-07,0.001
0.000689,0.000769,0.000218,11.5,60000000.0,5e-07,0.001
0.00269,0.000444,0.000269,9.0,60000000.0,5e-07,0.001
0.0045,0.000574,0.000284,9.0,60000000.0,5e-07,0.001
